Date,"Growth hacking"
2016-11-14,413
2016-11-15,413
2016-11-16,501
2016-11-17,432
2016-11-18,375
2016-11-19,196
2016-11-20,227
2016-11-21,450
2016-11-22,405
2016-11-23,413
2016-11-24,456
2016-11-25,334
2016-11-26,186
2016-11-27,227
2016-11-28,426
2016-11-29,481
2016-11-30,508
2016-12-01,501
2016-12-02,404
2016-12-03,273
2016-12-04,253
2016-12-05,410
2016-12-06,449
2016-12-07,387
2016-12-08,439
2016-12-09,348
2016-12-10,259
2016-12-11,371
2016-12-12,427
2016-12-13,455
2016-12-14,468
2016-12-15,396
2016-12-16,372
2016-12-17,246
2016-12-18,283
2016-12-19,407
2016-12-20,363
2016-12-21,383
2016-12-22,354
2016-12-23,264
2016-12-24,174
2016-12-25,173
2016-12-26,190
2016-12-27,357
2016-12-28,263
2016-12-29,289
2016-12-30,229
2016-12-31,152
2017-01-01,158
2017-01-02,355
2017-01-03,538
2017-01-04,467
2017-01-05,424
2017-01-06,383
2017-01-07,221
2017-01-08,257
2017-01-09,425
2017-01-10,535
2017-01-11,428
2017-01-12,442
2017-01-13,406
2017-01-14,209
2017-01-15,269
2017-01-16,405
2017-01-17,500
2017-01-18,428
2017-01-19,487
2017-01-20,388
2017-01-21,254
2017-01-22,246
2017-01-23,481
2017-01-24,498
2017-01-25,431
2017-01-26,391
2017-01-27,345
2017-01-28,238
2017-01-29,233
2017-01-30,417
2017-01-31,455
2017-02-01,415
2017-02-02,452
2017-02-03,385
2017-02-04,228
2017-02-05,268
2017-02-06,476
2017-02-07,497
2017-02-08,497
2017-02-09,474
2017-02-10,370
2017-02-11,230
2017-02-12,280
2017-02-13,439
2017-02-14,499
2017-02-15,460
2017-02-16,433
2017-02-17,444
2017-02-18,257
2017-02-19,230
2017-02-20,498
2017-02-21,492
2017-02-22,523
2017-02-23,521
2017-02-24,415
2017-02-25,264
2017-02-26,307
2017-02-27,448
2017-02-28,479
2017-03-01,421
2017-03-02,432
2017-03-03,419
2017-03-04,229
2017-03-05,268
2017-03-06,458
2017-03-07,446
2017-03-08,447
2017-03-09,430
2017-03-10,330
2017-03-11,231
2017-03-12,229
2017-03-13,408
2017-03-14,468
2017-03-15,451
2017-03-16,421
2017-03-17,340
2017-03-18,250
2017-03-19,280
2017-03-20,471
2017-03-21,378
2017-03-22,466
2017-03-23,468
2017-03-24,368
2017-03-25,224
2017-03-26,221
2017-03-27,424
2017-03-28,440
2017-03-29,407
2017-03-30,431
2017-03-31,368
2017-04-01,197
2017-04-02,198
2017-04-03,408
2017-04-04,430
2017-04-05,411
2017-04-06,431
2017-04-07,341
2017-04-08,279
2017-04-09,206
2017-04-10,412
2017-04-11,472
2017-04-12,418
2017-04-13,447
2017-04-14,287
2017-04-15,225
2017-04-16,204
2017-04-17,307
2017-04-18,482
2017-04-19,412
2017-04-20,425
2017-04-21,395
2017-04-22,223
2017-04-23,216
2017-04-24,439
2017-04-25,414
2017-04-26,433
2017-04-27,418
2017-04-28,391
2017-04-29,195
2017-04-30,218
2017-05-01,295
2017-05-02,413
2017-05-03,412
2017-05-04,366
2017-05-05,339
2017-05-06,188
2017-05-07,233
2017-05-08,434
2017-05-09,458
2017-05-10,388
2017-05-11,461
2017-05-12,312
2017-05-13,214
2017-05-14,227
2017-05-15,388
2017-05-16,424
2017-05-17,395
2017-05-18,440
2017-05-19,343
2017-05-20,195
2017-05-21,203
2017-05-22,419
2017-05-23,404
2017-05-24,384
2017-05-25,291
2017-05-26,303
2017-05-27,183
2017-05-28,203
2017-05-29,348
2017-05-30,422
2017-05-31,399
2017-06-01,380
2017-06-02,314
2017-06-03,184
2017-06-04,224
2017-06-05,379
2017-06-06,350
2017-06-07,392
2017-06-08,392
2017-06-09,319
2017-06-10,236
2017-06-11,256
2017-06-12,374
2017-06-13,441
2017-06-14,445
2017-06-15,401
2017-06-16,340
2017-06-17,176
2017-06-18,236
2017-06-19,481
2017-06-20,387
2017-06-21,390
2017-06-22,362
2017-06-23,316
2017-06-24,203
2017-06-25,209
2017-06-26,342
2017-06-27,385
2017-06-28,388
2017-06-29,374
2017-06-30,302
2017-07-01,138
2017-07-02,164
2017-07-03,352
2017-07-04,322
2017-07-05,405
2017-07-06,463
2017-07-07,456
2017-07-08,364
2017-07-09,238
2017-07-10,570
2017-07-11,403
2017-07-12,380
2017-07-13,380
2017-07-14,322
2017-07-15,195
2017-07-16,244
2017-07-17,374
2017-07-18,331
2017-07-19,362
2017-07-20,364
2017-07-21,283
2017-07-22,191
2017-07-23,216
2017-07-24,386
2017-07-25,426
2017-07-26,398
2017-07-27,427
2017-07-28,365
2017-07-29,180
2017-07-30,189
2017-07-31,325
2017-08-01,347
2017-08-02,332
2017-08-03,327
2017-08-04,272
2017-08-05,173
2017-08-06,167
2017-08-07,335
2017-08-08,418
2017-08-09,362
2017-08-10,397
2017-08-11,483
2017-08-12,231
2017-08-13,227
2017-08-14,385
2017-08-15,329
2017-08-16,353
2017-08-17,441
2017-08-18,287
2017-08-19,188
2017-08-20,202
2017-08-21,413
2017-08-22,362
2017-08-23,384
2017-08-24,322
2017-08-25,325
2017-08-26,189
2017-08-27,206
2017-08-28,384
2017-08-29,382
2017-08-30,360
2017-08-31,452
2017-09-01,339
2017-09-02,206
2017-09-03,240
2017-09-04,329
2017-09-05,415
2017-09-06,428
2017-09-07,438
2017-09-08,378
2017-09-09,220
2017-09-10,255
2017-09-11,365
2017-09-12,510
2017-09-13,460
2017-09-14,388
2017-09-15,333
2017-09-16,248
2017-09-17,187
2017-09-18,392
2017-09-19,447
2017-09-20,428
2017-09-21,406
2017-09-22,366
2017-09-23,244
2017-09-24,226
2017-09-25,422
2017-09-26,443
2017-09-27,432
2017-09-28,431
2017-09-29,324
2017-09-30,160
2017-10-01,235
2017-10-02,321
2017-10-03,363
2017-10-04,384
2017-10-05,380
2017-10-06,296
2017-10-07,202
2017-10-08,217
2017-10-09,388
2017-10-10,408
2017-10-11,440
2017-10-12,440
2017-10-13,332
2017-10-14,210
2017-10-15,354
2017-10-16,438
2017-10-17,430
2017-10-18,468
2017-10-19,532
2017-10-20,500
2017-10-21,203
2017-10-22,245
2017-10-23,423
2017-10-24,435
2017-10-25,478
2017-10-26,481
2017-10-27,383
2017-10-28,230
2017-10-29,284
2017-10-30,430
2017-10-31,424
2017-11-01,531
2017-11-02,535
2017-11-03,408
2017-11-04,284
2017-11-05,305
2017-11-06,486
2017-11-07,563
2017-11-08,494
2017-11-09,492
2017-11-10,450
2017-11-11,347
2017-11-12,320
2017-11-13,458
2017-11-14,519
2017-11-15,442
2017-11-16,488
2017-11-17,394
2017-11-18,259
2017-11-19,290
2017-11-20,465
2017-11-21,537
2017-11-22,559
2017-11-23,423
2017-11-24,366
2017-11-25,251
2017-11-26,226
2017-11-27,486
2017-11-28,509
2017-11-29,515
2017-11-30,388
2017-12-01,375
2017-12-02,245
2017-12-03,240
2017-12-04,402
2017-12-05,471
2017-12-06,419
2017-12-07,381
2017-12-08,316
2017-12-09,214
2017-12-10,217
2017-12-11,431
2017-12-12,416
2017-12-13,419
2017-12-14,431
2017-12-15,313
2017-12-16,219
2017-12-17,233
2017-12-18,349
2017-12-19,399
2017-12-20,361
2017-12-21,305
2017-12-22,329
2017-12-23,163
2017-12-24,144
2017-12-25,163
2017-12-26,254
2017-12-27,321
2017-12-28,291
2017-12-29,276
2017-12-30,165
2017-12-31,157
2018-01-01,202
2018-01-02,292
2018-01-03,366
2018-01-04,424
2018-01-05,406
2018-01-06,237
2018-01-07,275
2018-01-08,397
2018-01-09,413
2018-01-10,473
2018-01-11,486
2018-01-12,394
2018-01-13,200
2018-01-14,224
2018-01-15,466
2018-01-16,475
2018-01-17,433
2018-01-18,461
2018-01-19,420
2018-01-20,259
2018-01-21,253
2018-01-22,421
2018-01-23,435
2018-01-24,470
2018-01-25,453
2018-01-26,383
2018-01-27,252
2018-01-28,251
2018-01-29,465
2018-01-30,464
2018-01-31,467
2018-02-01,436
2018-02-02,404
2018-02-03,257
2018-02-04,282
2018-02-05,381
2018-02-06,440
2018-02-07,485
2018-02-08,461
2018-02-09,385
2018-02-10,252
2018-02-11,299
2018-02-12,529
2018-02-13,471
2018-02-14,437
2018-02-15,451
2018-02-16,367
2018-02-17,258
2018-02-18,221
2018-02-19,443
2018-02-20,475
2018-02-21,459
2018-02-22,458
2018-02-23,384
2018-02-24,254
2018-02-25,227
2018-02-26,478
2018-02-27,471
2018-02-28,489
2018-03-01,456
2018-03-02,422
2018-03-03,252
2018-03-04,266
2018-03-05,432
2018-03-06,425
2018-03-07,561
2018-03-08,450
2018-03-09,414
2018-03-10,238
2018-03-11,255
2018-03-12,433
2018-03-13,495
2018-03-14,442
2018-03-15,404
2018-03-16,368
2018-03-17,215
2018-03-18,233
2018-03-19,441
2018-03-20,433
2018-03-21,415
2018-03-22,420
2018-03-23,388
2018-03-24,241
2018-03-25,212
2018-03-26,438
2018-03-27,372
2018-03-28,392
2018-03-29,347
2018-03-30,327
2018-03-31,262
2018-04-01,226
2018-04-02,380
2018-04-03,468
2018-04-04,400
2018-04-05,506
2018-04-06,403
2018-04-07,308
2018-04-08,327
2018-04-09,465
2018-04-10,458
2018-04-11,485
2018-04-12,493
2018-04-13,458
2018-04-14,322
2018-04-15,318
2018-04-16,474
2018-04-17,494
2018-04-18,471
2018-04-19,448
2018-04-20,467
2018-04-21,287
2018-04-22,305
2018-04-23,453
2018-04-24,486
2018-04-25,461
2018-04-26,443
2018-04-27,381
2018-04-28,380
2018-04-29,274
2018-04-30,435
2018-05-01,367
2018-05-02,426
2018-05-03,508
2018-05-04,452
2018-05-05,269
2018-05-06,270
2018-05-07,436
2018-05-08,474
2018-05-09,446
2018-05-10,415
2018-05-11,405
2018-05-12,282
2018-05-13,317
2018-05-14,513
2018-05-15,494
2018-05-16,456
2018-05-17,476
2018-05-18,497
2018-05-19,247
2018-05-20,321
2018-05-21,410
2018-05-22,439
2018-05-23,407
2018-05-24,487
2018-05-25,325
2018-05-26,200
2018-05-27,220
2018-05-28,850
2018-05-29,496
2018-05-30,444
2018-05-31,412
2018-06-01,368
2018-06-02,218
2018-06-03,281
2018-06-04,455
2018-06-05,617
2018-06-06,389
2018-06-07,418
2018-06-08,366
2018-06-09,217
2018-06-10,251
2018-06-11,392
2018-06-12,415
2018-06-13,405
2018-06-14,328
2018-06-15,475
2018-06-16,204
2018-06-17,202
2018-06-18,586
2018-06-19,409
2018-06-20,384
2018-06-21,374
2018-06-22,331
2018-06-23,195
2018-06-24,226
2018-06-25,444
2018-06-26,440
2018-06-27,419
2018-06-28,351
2018-06-29,315
2018-06-30,174
2018-07-01,204
2018-07-02,340
2018-07-03,368
2018-07-04,360
2018-07-05,351
2018-07-06,308
2018-07-07,201
2018-07-08,228
2018-07-09,420
2018-07-10,383
2018-07-11,408
2018-07-12,412
2018-07-13,320
2018-07-14,218
2018-07-15,233
2018-07-16,386
2018-07-17,406
2018-07-18,878
2018-07-19,366
2018-07-20,339
2018-07-21,238
2018-07-22,214
2018-07-23,370
2018-07-24,449
2018-07-25,371
2018-07-26,378
2018-07-27,489
2018-07-28,222
2018-07-29,240
2018-07-30,408
2018-07-31,436
2018-08-01,494
2018-08-02,421
2018-08-03,345
2018-08-04,270
2018-08-05,227
2018-08-06,410
2018-08-07,385
2018-08-08,430
2018-08-09,383
2018-08-10,313
2018-08-11,229
2018-08-12,218
2018-08-13,378
2018-08-14,427
2018-08-15,386
2018-08-16,405
2018-08-17,418
2018-08-18,298
2018-08-19,226
2018-08-20,473
2018-08-21,449
2018-08-22,411
2018-08-23,466
2018-08-24,401
2018-08-25,214
2018-08-26,222
2018-08-27,429
2018-08-28,433
2018-08-29,512
2018-08-30,418
2018-08-31,384
2018-09-01,198
2018-09-02,210
2018-09-03,418
2018-09-04,456
2018-09-05,458
2018-09-06,418
2018-09-07,328
2018-09-08,246
2018-09-09,202
2018-09-10,403
2018-09-11,443
2018-09-12,387
2018-09-13,399
2018-09-14,320
2018-09-15,252
2018-09-16,235
2018-09-17,387
2018-09-18,389
2018-09-19,446
2018-09-20,505
2018-09-21,394
2018-09-22,217
2018-09-23,618
2018-09-24,418
2018-09-25,360
2018-09-26,418
2018-09-27,387
2018-09-28,327
2018-09-29,221
2018-09-30,202
2018-10-01,412
2018-10-02,514
2018-10-03,439
2018-10-04,363
2018-10-05,383
2018-10-06,225
2018-10-07,185
2018-10-08,408
2018-10-09,438
2018-10-10,364
2018-10-11,462
2018-10-12,340
2018-10-13,199
2018-10-14,196
2018-10-15,390
2018-10-16,408
2018-10-17,448
2018-10-18,392
2018-10-19,362
2018-10-20,234
2018-10-21,257
2018-10-22,425
2018-10-23,406
2018-10-24,481
2018-10-25,462
2018-10-26,310
2018-10-27,191
2018-10-28,216
2018-10-29,382
2018-10-30,368
2018-10-31,400
2018-11-01,339
2018-11-02,336
2018-11-03,219
2018-11-04,236
2018-11-05,389
2018-11-06,418
2018-11-07,399
2018-11-08,382
2018-11-09,397
2018-11-10,236
2018-11-11,237
2018-11-12,567
2018-11-13,825
2018-11-14,537
2018-11-15,477
2018-11-16,407
2018-11-17,239
2018-11-18,272
2018-11-19,529
2018-11-20,546
2018-11-21,435
2018-11-22,392
2018-11-23,335
2018-11-24,241
2018-11-25,551
2018-11-26,473
2018-11-27,438
2018-11-28,469
2018-11-29,425
2018-11-30,320
2018-12-01,208
2018-12-02,232
2018-12-03,430
2018-12-04,513
2018-12-05,522
2018-12-06,501
2018-12-07,401
2018-12-08,254
